join_key,year,state_code,deaths,erp,rate_per_100k
ACT-2020,2020,ACT,7,151316.88333333333,4.626053514847925
NSW-2020,2020,NSW,284,2704449.901666667,10.501211348931989
NT-2020,2020,NT,31,83043.18166666666,37.329976257934405
QLD-2020,2020,QLD,278,1745753.5466666669,15.92435544701094
SA-2020,2020,SA,93,603408.65,15.412440640352106
TAS-2020,2020,TAS,38,189888.71,20.011721602616607
VIC-2020,2020,VIC,211,2193219.335,9.620560818191036
WA-2020,2020,WA,155,922222.3616666668,16.807226374329023
ACT-2021,2021,ACT,11,153469.815,7.167533237724957
NSW-2021,2021,NSW,275,2699324.154166667,10.187735310541012
NT-2021,2021,NT,35,83552.79583333334,41.889681429471416
QLD-2021,2021,QLD,277,1759401.0175,15.743994532502878
SA-2021,2021,SA,99,605061.5558333333,16.36197161190488
TAS-2021,2021,TAS,36,192014.93333333332,18.74854178008377
VIC-2021,2021,VIC,231,2167682.4275,10.656542539139997
WA-2021,2021,WA,166,928928.4283333332,17.870052733538817
ACT-2022,2022,ACT,18,157494.72083333333,11.428954510194828
NSW-2022,2022,NSW,281,2770222.1808333336,10.143590717892168
NT-2022,2022,NT,47,86126.37166666666,54.57097412846237
QLD-2022,2022,QLD,297,1810975.25,16.400003257913106
SA-2022,2022,SA,71,618406.3975,11.481123139577482
TAS-2022,2022,TAS,51,192510.0483333333,26.49212362759004
VIC-2022,2022,VIC,240,2244045.5458333334,10.694970092992262
WA-2022,2022,WA,175,954023.7508333334,18.34335883641667
ACT-2023,2023,ACT,3,160642.52666666667,1.867500507026388
NSW-2023,2023,NSW,298,2850960.6216666666,10.452617189282318
NT-2023,2023,NT,25,87368.4675,28.61444261912915
QLD-2023,2023,QLD,229,1868631.1175,12.254960214211462
SA-2023,2023,SA,96,631156.5025000001,15.210173644689652
TAS-2023,2023,TAS,28,191782.00083333327,14.59991025139694
VIC-2023,2023,VIC,238,2333118.481666667,10.200939295203916
WA-2023,2023,WA,125,999899.5608333334,12.501255615696326
